username,content,timestamp
utsuru,Ils ont dû en vendre à balle des Plague Inc sur mobile,2025-06-19T09:33:29.317109
salmuth,Le tuto est plutôt bien foutu aussi.,2025-06-19T09:33:40.201632
thiorah,@RastelleFR heyo Rara peepoSitHey,2025-06-19T09:33:43.381817
nanoq__,jour 2 ça part déjà en manif,2025-06-19T09:33:44.874192
utsuru,Eux le covid ça les a bien aidé,2025-06-19T09:33:45.394817
anartichaud_,@Markadia Non parce qu'après les techniciens qui mettent deux semaines pour venir brancher un câble débranché par un autre............,2025-06-19T09:33:48.132304
lz_baleinedesglaces,@RastelleFR Elle est trop pipou ton emote dis donc,2025-06-19T09:33:57.339001
unechoco,@thiorah peepoSitHey,2025-06-19T09:34:01.765979
tatoolo,@UTSURU je me suis bien plague le inc sur mobile oui,2025-06-19T09:34:02.981040
anartichaud_,@UTSURU plague inc vraiment j'aime tellement,2025-06-19T09:34:05.106735
yumyumimi,@lz_baleinedesglaces coucou jadeSlay oui je suis pas trop matinal donc je le suis je profite pour venir renranPeekinggg,2025-06-19T09:34:10.240918
markadia,@anartichaud_ tout en redébranchant le deuxième cable pour romettre le premier plonkton,2025-06-19T09:34:21.105217
loeildesauron,detente JustAChillGuy,2025-06-19T09:34:25.090360
salmuth,"@UTSURU Je crois qu'ils ont été trauma et ils sont parti dans le délire ""le covid-zombie post apo game""",2025-06-19T09:34:26.812199
utsuru,Non mais voilà les zoomers sur mobile !!!,2025-06-19T09:34:32.256768
anartichaud_,@Markadia MAIS OUI bahahahahahah,2025-06-19T09:34:35.110717
kaorru,ROMET,2025-06-19T09:34:46.424870
utsuru,Et du coup celui là aussi est sur mobile ?,2025-06-19T09:34:58.653177
alx_vadder,ROMETLO !,2025-06-19T09:34:58.950173
lz_baleinedesglaces,@yumyumimi Ahhh mais tu stream aussi sur twitch television :o ?,2025-06-19T09:35:00.011176
thiorah,Dubois je vous ai trouvé un nouvel attrapeur,2025-06-19T09:35:03.987709
anartichaud_,utsuru tu peux ouvrir le cadeau que je t'ai envoyé sur pokemonGO stp j'attends,2025-06-19T09:35:04.250307
markadia,fouille-moi le bois,2025-06-19T09:35:09.117270
sethsous,glorpHi @Thiorah,2025-06-19T09:35:11.623781
xomberus,@UTSURU Oui,2025-06-19T09:35:12.407603
loeildesauron,@UTSURU vu l'UI je serais pas surpris,2025-06-19T09:35:19.826821
artyom_premier,un homme sans bois ni loi SoonerLater,2025-06-19T09:35:26.091732
tatoolo,pas touche a mon colon,2025-06-19T09:35:27.516159
thiorah,@Sethsous Oeee Cc Seth peepoSitHey,2025-06-19T09:35:32.935260
furakutarufs,Le moral de mon colon là,2025-06-19T09:35:33.921509
rastellefr,@loeildesauron HenloThere,2025-06-19T09:35:34.737072
salmuth,c'est un X4,2025-06-19T09:35:39.255687
markadia,mais ils sont au courant les devs de Civ ?,2025-06-19T09:35:45.780908
radkein,bonjour,2025-06-19T09:35:48.575895
loeildesauron,cc RastelleFR markad4Hi,2025-06-19T09:35:49.465936
anartichaud_,"j'aime trop les ""plop"" du sound design quand tu selectionnes un truc",2025-06-19T09:35:54.262366
kaione708,C'est ça le jeu Infinite clicks?,2025-06-19T09:35:54.442927
rastellefr,"@gigipinkicutie je viens de voir to message, oui c'est fort possible",2025-06-19T09:35:56.451605
tatoolo,"@Markadia non, tu devrais leur dire",2025-06-19T09:36:02.482254
dajikoo,Il arrête pas de se plaindre bientôt il veulent des congés,2025-06-19T09:36:05.615938
utsuru,@LOeildeSauron Trop smart (comme les voitures),2025-06-19T09:36:06.014994
loeildesauron,Abonné depuis 3 ansMarkadia: mais ils sont au courant les devs de Civ ?,2025-06-19T09:36:06.142956
zemi_o7,C'est comme Civilization sauf que les hexagones ne sont pas réguliers,2025-06-19T09:36:10.388962
rastellefr,Ahhh les juristes,2025-06-19T09:36:19.775504
lamykoze,"oh ça ressemble à civ, j'adore",2025-06-19T09:36:20.100375
utsuru,@anartichaud_ Plop la team,2025-06-19T09:36:20.552245
rastellefr,mynNullos,2025-06-19T09:36:23.440699
markadia,@anartichaud_ plop la guilde xD,2025-06-19T09:36:23.984511
salmuth,"@anartichaud_ Je crois que le jeu avec les ""plop"" les plus jouissifs c'est civ 7",2025-06-19T09:36:35.217192
nerub8,16/20 t'y es presque,2025-06-19T09:36:38.372480
anartichaud_,@UTSURU plop plop,2025-06-19T09:36:46.740147
anartichaud_,@Markadia OUI BAH VOILA,2025-06-19T09:36:53.667667
sethsous,oooh travaillez là,2025-06-19T09:37:03.447443
anartichaud_,@salmuth non là c'est trop bine,2025-06-19T09:37:04.165239
loeildesauron,@Markadia rdv zaap madrestam ^^,2025-06-19T09:37:10.180620
piervers,@UTSURU Alors qu'on sait tous que la Covid n'a pas existé !,2025-06-19T09:37:39.826833
moobot,Joeler,2025-06-19T09:37:40.055622
tatoolo,plop les zombies,2025-06-19T09:37:41.867512
anartichaud_,vend ka-mas zaap d'astrub,2025-06-19T09:37:44.195563
sylfe_2979,yoloooo,2025-06-19T09:37:55.922421
kaione708,Les hippies,2025-06-19T09:37:56.036425
etivnne,les zones débloquées en forme de zizi mynNullos,2025-06-19T09:37:57.259204
nomagaunrom,@LOeildeSauron merci d'avoir def perco ce matin ^^,2025-06-19T09:37:58.404221
markadia,@LOeildeSauron cherche fm 100 pur 1pa 1po no noob ^ ^,2025-06-19T09:37:58.742376
coccibellee,Le zadiste,2025-06-19T09:37:59.541674
tatoolo,@anartichaud_ no noob no arnak,2025-06-19T09:38:03.650313
utsuru,@Piervers Bien vrai ça,2025-06-19T09:38:09.282528
excalipur,Le zadisme,2025-06-19T09:38:10.123097
persiagabe,L'argent,2025-06-19T09:38:10.317856
loeildesauron,@anartichaud_ no noob no arnak ^^,2025-06-19T09:38:10.629506
supersteden,la guerre ne meurt jamais,2025-06-19T09:38:12.469386
etivnne,(bonjour nonobstant),2025-06-19T09:38:12.820822
skz911,"Saccage paris, Macron ou le RN",2025-06-19T09:38:13.449295
alsh0ck,@Piervers si mais à l'intérieur de la terre plate creuse,2025-06-19T09:38:16.064209
bandhu_,le punk a iench,2025-06-19T09:38:16.485772
piervers,La guerre c'est la paix,2025-06-19T09:38:19.252751
nerub8,Il y a des infos en haut on dirait,2025-06-19T09:38:21.309090
artyom_premier,je pense qu'on a vu où nous menait le capitalisme,2025-06-19T09:38:25.226987
anartichaud_,(j'ai jamais joué à dofus mdr),2025-06-19T09:38:27.955316
markadia,@anartichaud_ mais non WHAT (tu rates rine),2025-06-19T09:38:46.372769
loeildesauron,@anartichaud_ je pense faut que fassiez une guilde sucrée,2025-06-19T09:39:03.050513
bandhu_,t'es un gamerz au moins normal Madge @Mynthos,2025-06-19T09:39:06.539041
monsieur_r0se,"guerre !!! gom4rtDerp du sang pour le dieux du sang, des cranes pour le trônes de cranes !! gom4rtDerp",2025-06-19T09:39:07.386151
anartichaud_,@Markadia Après copain a 4000h donc j'pense ça compense,2025-06-19T09:39:10.518157
loeildesauron,@Markadia trop un rageux alors qu'on a bien rigolol,2025-06-19T09:39:16.737852
focusfuyant,Crayon en haut à droite,2025-06-19T09:39:19.158476
mastergoret,tu peux personnalisé,2025-06-19T09:39:19.460258
sylfe_2979,en haut à droite du choix,2025-06-19T09:39:22.097556
alsh0ck,@anartichaud_ t'as raté les incroyables jeux de mots flingués qui ont construit mon humour (je suis toufu),2025-06-19T09:39:22.554609
utsuru,@anartichaud_ Beau score,2025-06-19T09:39:24.189473
salmuth,"y a un stylo en haut, c'est pour faire son nom à soit ?",2025-06-19T09:39:28.583827
ffta_empire_royaldu54,tu peux faire ton propre noms Mynthos,2025-06-19T09:39:35.592207
anartichaud_,@LOeildeSauron déjà qu'on galère à s'organiser pour se voir...,2025-06-19T09:39:38.674043
tatoolo,Ben Prunty,2025-06-19T09:39:40.438724
markadia,@anartichaud_ tout ça eh beh,2025-06-19T09:39:42.528482
kaione708,ROFAIT,2025-06-19T09:39:42.617888
nerub8,jackjack,2025-06-19T09:39:49.161099
etivnne,soumiland,2025-06-19T09:39:52.714154
sethsous,slim shady,2025-06-19T09:39:53.637869
alx_vadder,50 shades of Jack,2025-06-19T09:39:57.781903
bandhu_,né pierré CaveBob,2025-06-19T09:40:00.342753
markadia,@LOeildeSauron mon moment préféré c'est quand j'ai pas réussi à avoir le frenn,2025-06-19T09:40:01.208629
anartichaud_,"@Markadia Mdr oui, il a refait 3 perso là encore...",2025-06-19T09:40:02.451764
salmuth,parfait,2025-06-19T09:40:05.528467
piervers,@alsh0ck Bouuuuuh le complotiste idiot bête !,2025-06-19T09:40:07.075774
loeildesauron,@anartichaud_ c'est plus facile de se retrouver donjon bouf qu'irl,2025-06-19T09:40:08.707389
sethsous,kayou,2025-06-19T09:40:09.745634
salmuth,caillou land,2025-06-19T09:40:09.824857
bandhu_,je suis pierre pierre,2025-06-19T09:40:12.075535
ptipiak,Hom manger stonestone,2025-06-19T09:40:12.696244
drpeuper,Cailloullou,2025-06-19T09:40:14.949762
alsh0ck,"je ne vous jette pas la pierre, Pierre",2025-06-19T09:40:15.738797
sakastien,SINJ,2025-06-19T09:40:16.363351
flaxelle,parfait! Caillou caillou,2025-06-19T09:40:18.736913
salmuth,L'age de pierre is back,2025-06-19T09:40:21.621294
tatoolo,romet l'eau,2025-06-19T09:40:24.131777
yabada__,la pierre de la pierre,2025-06-19T09:40:29.088230
loeildesauron,@Markadia the frenn ptsd is real,2025-06-19T09:40:33.158327
zemi_o7,"""Tas de bouze""",2025-06-19T09:40:33.302724
utsuru,C'est encore un jeu de gros cerveau ça,2025-06-19T09:40:34.131614
anartichaud_,@LOeildeSauron Ouais pas faux en vrai,2025-06-19T09:40:35.170716
thiorah,"Stone, le monde est stoooone",2025-06-19T09:40:36.880052
alx_vadder,Pierre ? Présent !,2025-06-19T09:40:41.664595
markadia,@anartichaud_ rip la vie sociale ParasocialFrenn,2025-06-19T09:40:45.923869
baneemaendaree,Il est sur tel aussi lui,2025-06-19T09:40:58.822250
loeildesauron,je re peepoVanish,2025-06-19T09:41:02.496181
anartichaud_,@Markadia spoiler: il en a pas trop,2025-06-19T09:41:04.216133
anartichaud_,ciao LODS,2025-06-19T09:41:13.359158
tatoolo,fouille moi le bois je suis pas ta mère,2025-06-19T09:41:22.731160
markadia,@anartichaud_ mdrrr bah oui tu m'étonnes munueICANT,2025-06-19T09:41:47.965557
rastellefr,mynMenfou mynPalu + rations,2025-06-19T09:41:56.346021
markadia,@LOeildeSauron q+ dans lbus,2025-06-19T09:42:05.564098
ffta_empire_royaldu54,les ZM c'est le rond rouge que tu a vue avant,2025-06-19T09:42:07.208350
anartichaud_,"Explore moi la zone, grand colon FallGuys",2025-06-19T09:42:12.343289
utsuru,"Je sais pas, j'ai l'impression faut réfléchir et tout",2025-06-19T09:42:24.942712
zemi_o7,Du coup la fin canon de Plague Inc c'est le virus T,2025-06-19T09:42:27.374235
tatoolo,loca loca la vida loca,2025-06-19T09:42:28.585022
mrpoc,@anartichaud_ HUH,2025-06-19T09:42:31.647723
markadia,notre-dame-des-landes à mes yeux,2025-06-19T09:42:31.975481
violax_,Stonestone a besoin de Boisbois ?,2025-06-19T09:42:50.748015
roiarthuroupresque,LUL LUL,2025-06-19T09:42:51.973772
skeepycrazy,déjà des logements sociaux,2025-06-19T09:43:08.777038
alsh0ck,@Markadia notre... dame... des landes de pierrepierre,2025-06-19T09:43:14.250973
markadia,@anartichaud_ uuh,2025-06-19T09:43:19.607657
nomagaunrom,l'A69 PogBones,2025-06-19T09:43:37.889268
markadia,@alsh0ck non pitié,2025-06-19T09:43:43.150978
poireauninja,Bello bito,2025-06-19T09:43:45.108675
migraine_farmer,bonjour bonjour mynKnuk,2025-06-19T09:43:45.349394
tatoolo,@NomagaUnrom nice,2025-06-19T09:43:52.149636
thiorah,@anartichaud_ shisHUHH KEKW,2025-06-19T09:44:17.233906
mrpoc,@Migraine_Farmer peepoSitHey,2025-06-19T09:44:20.292517
